"startX" "startY" "startZ" "endX" "endY" "endZ" "cyl_ID" "parent_ID" "extension_ID" "length" "axis_ID" "segment_ID" "node_ID" "branching_order" "X94.5504632813008"
-0.71 1.43 5.25 -0.71 1.45 5.26 7532 7531 7533 0.02 23 7557 7531 2 57.77
-0.77 1.61 5.36 -0.77 1.63 5.37 7558 7557 7559 0.02 23 7574 7557 2 30.89
-0.24 -0.43 6.07 -0.24 -0.43 6.07 8068 8067 8069 0 25 8082 8067 2 152.49
-0.3 -0.3 5.98 -0.31 -0.31 5.99 8083 8082 8084 0.02 25 8104 8082 2 170.01
-0.41 -0.41 6.09 -0.41 -0.41 6.09 8105 8104 8106 0.01 25 8139 8104 2 62.32
-0.55 -0.59 6.25 -0.55 -0.59 6.27 8275 8221 8276 0.01 25 8288 8221 2 16.5
-0.59 -0.64 6.35 -0.6 -0.64 6.36 8289 8288 8290 0.01 25 8318 8288 2 25.27
-0.7 -0.72 6.53 -0.71 -0.72 6.54 8319 8318 8320 0.01 25 8345 8318 2 22.45
-0.78 -0.79 6.71 -0.76 -0.82 6.7 8426 8345 8427 0.03 25 8453 8345 2 24.33
-0.08 0.46 3.37 -0.08 0.46 3.37 8667 8666 8668 0.01 9 8691 8666 2 68.68
-0.1 0.67 3.36 -0.1 0.68 3.36 8692 8691 8693 0.01 9 8738 8691 2 58.65
-0.16 1.05 3.38 -0.16 1.05 3.39 8739 8738 8740 0.01 9 8739 8738 2 49.87
-0.16 1.05 3.39 -0.16 1.06 3.39 8740 8739 8741 0.01 9 8770 8739 2 57.1
-0.19 1.31 3.46 -0.19 1.32 3.47 8771 8770 8772 0.01 9 8787 8770 2 21.47
-0.21 1.44 3.52 -0.22 1.44 3.52 8788 8787 8789 0.01 9 8811 8787 2 44.83
-0.25 1.64 3.63 -0.25 1.66 3.64 8812 8811 8813 0.02 9 8826 8811 2 29.28
0.44 0.12 3.74 0.44 0.12 3.74 9164 9163 9165 0.01 13 9203 9163 2 73
0.73 0.19 3.74 0.74 0.2 3.74 9204 9203 9205 0.01 13 9219 9203 2 34.59
0.85 0.23 3.75 0.86 0.23 3.75 9220 9219 9221 0.01 13 9242 9219 2 55.13
1.03 0.28 3.76 1.04 0.28 3.76 9243 9242 9244 0.01 13 9280 9242 2 60.27
1.31 0.35 3.81 1.31 0.36 3.8 9286 9280 9287 0.01 13 9300 9280 2 29.76
1.43 0.37 3.86 1.43 0.37 3.86 9301 9300 9302 0.01 13 9302 9300 2 55.68
1.64 0.41 3.94 1.65 0.41 3.94 9327 9326 9328 0.01 13 9353 9326 2 36.93
1.83 0.47 4.03 1.85 0.47 4.03 9354 9353 9355 0.01 13 9369 9353 2 31.79
1.45 0.42 3.85 1.46 0.42 3.86 9373 9370 9374 0.02 129 9402 9370 3 4.94
-0.49 0.26 3.9 -0.5 0.26 3.91 9887 9886 9888 0.01 15 9902 9886 2 22.41
-0.61 0.32 3.92 -0.61 0.33 3.92 9903 9902 9904 0.01 15 9931 9902 2 52.27
-0.8 0.43 3.95 -0.81 0.43 3.95 9932 9931 9933 0.01 15 9961 9931 2 63.17
-1.02 0.53 3.99 -1.03 0.53 3.99 9962 9961 9963 0 15 9978 9961 2 36.89
-1.14 0.6 4.03 -1.16 0.61 4.04 9979 9978 9980 0.02 15 10008 9978 2 66.25
-1.34 0.72 4.12 -1.35 0.73 4.13 10009 10008 10010 0.01 15 10029 10008 2 40.96
-1.49 0.8 4.19 -1.5 0.8 4.19 10030 10029 10031 0.01 15 10055 10029 2 32.53
-1.64 0.88 4.3 -1.71 0.89 4.27 10375 10055 10376 0.07 15 10394 10055 2 20.82
0.2 0.47 4.24 0.2 0.47 4.24 10630 10629 10631 0.01 17 10654 10629 2 47.44
0.27 0.64 4.26 0.27 0.64 4.26 10655 10654 10656 0.01 17 10682 10654 2 44.33
0.35 0.83 4.3 0.35 0.84 4.3 10683 10682 10684 0.01 17 10734 10682 2 62.4
0.49 1.21 4.4 0.5 1.22 4.41 10735 10734 10736 0.01 17 10759 10734 2 54.87
0.59 1.38 4.49 0.59 1.39 4.49 10760 10759 10761 0.01 17 10764 10759 2 45.15
0.61 1.41 4.5 0.61 1.41 4.51 10765 10764 10766 0 17 10785 10764 2 174.13
0.68 1.56 4.6 0.65 1.58 4.59 10830 10785 10831 0.04 17 10865 10785 2 32.46
0.17 0.19 2.92 0.17 0.19 2.92 11317 11316 11318 0.01 3 11343 11316 2 66.84
0.33 0.35 2.9 0.34 0.35 2.9 11344 11343 11345 0.01 3 11369 11343 2 58.08
0.47 0.5 2.92 0.48 0.5 2.92 11370 11369 11371 0.01 3 11393 11369 2 41.33
0.61 0.63 2.96 0.62 0.64 2.96 11394 11393 11395 0.01 3 11439 11393 2 62.93
-0.25 -0.02 3.07 -0.26 -0.02 3.07 11625 11624 11626 0.01 5 11656 11624 2 69.6
-0.54 -0.04 3.05 -0.55 -0.04 3.05 11657 11656 11658 0.01 5 11672 11656 2 23.95
-0.68 -0.05 3.05 -0.69 -0.06 3.05 11673 11672 11674 0.01 5 11698 11672 2 71.62
-0.91 -0.08 3.07 -0.92 -0.08 3.08 11699 11698 11700 0.01 5 11724 11698 2 37.93
-1.11 -0.09 3.13 -1.12 -0.09 3.14 11725 11724 11726 0.01 5 11748 11724 2 37.19
-1.3 -0.11 3.22 -1.31 -0.11 3.22 11749 11748 11750 0.01 5 11770 11748 2 44.68
0.02 0.5 5.81 0.02 0.5 5.81 12108 12107 12109 0.01 33 12126 12107 2 32.14
0.04 0.62 5.89 0.04 0.62 5.89 12127 12126 12128 0.01 33 12160 12126 2 72.89
0.07 0.85 6.02 0.07 0.86 6.03 12161 12160 12162 0.01 33 12179 12160 2 20.09
0.08 0.96 6.13 0.08 0.96 6.13 12180 12179 12181 0.01 33 12209 12179 2 37.6
0.12 1.12 6.31 0.12 1.12 6.31 12210 12209 12211 0 33 12242 12209 2 32.79
0.16 1.27 6.5 0.15 1.27 6.5 12324 12307 12325 0.01 33 12337 12307 2 24.87
0.18 1.34 6.6 0.19 1.35 6.61 12338 12337 12339 0.01 33 12358 12337 2 40.93
-0.26 -0.4 3.56 -0.26 -0.41 3.56 12687 12686 12688 0.01 11 12711 12686 2 72.61
-0.37 -0.58 3.56 -0.37 -0.58 3.56 12712 12711 12713 0 11 12749 12711 2 47.51
-0.52 -0.82 3.56 -0.52 -0.83 3.56 12750 12749 12751 0 11 12771 12749 2 60.77
